,Unnamed: 1
,
,
As of:,"Jun 28, 2021"
,
,
Effective date ,S&P 600
2016-06-28 00:00:00,679.84
2016-06-29 00:00:00,693.87
2016-06-30 00:00:00,708.36
2016-07-01 00:00:00,710.17
2016-07-05 00:00:00,700.06
2016-07-06 00:00:00,704.31
2016-07-07 00:00:00,705.56
2016-07-08 00:00:00,722.4
2016-07-11 00:00:00,730.53
2016-07-12 00:00:00,740.23
2016-07-13 00:00:00,739.28
2016-07-14 00:00:00,739.46
2016-07-15 00:00:00,740.72
2016-07-18 00:00:00,741.31
2016-07-19 00:00:00,736.75
2016-07-20 00:00:00,741.33
2016-07-21 00:00:00,736.99
2016-07-22 00:00:00,741.86
2016-07-25 00:00:00,739.19
2016-07-26 00:00:00,743.72
2016-07-27 00:00:00,745.31
2016-07-28 00:00:00,742.86
2016-07-29 00:00:00,743.98
2016-08-01 00:00:00,743.28
2016-08-02 00:00:00,732.5
2016-08-03 00:00:00,736.52
2016-08-04 00:00:00,736.86
2016-08-05 00:00:00,746.67
2016-08-08 00:00:00,745.69
2016-08-09 00:00:00,745.86
2016-08-10 00:00:00,742.13
2016-08-11 00:00:00,745.08
2016-08-12 00:00:00,744.16
2016-08-15 00:00:00,750.96
2016-08-16 00:00:00,745.71
2016-08-17 00:00:00,743.88
2016-08-18 00:00:00,748.81
2016-08-19 00:00:00,748.85
2016-08-22 00:00:00,750.77
2016-08-23 00:00:00,756.14
2016-08-24 00:00:00,751.55
2016-08-25 00:00:00,754.01
2016-08-26 00:00:00,751.91
2016-08-29 00:00:00,756.18
2016-08-30 00:00:00,756.46
2016-08-31 00:00:00,753.07
2016-09-01 00:00:00,753.11
2016-09-02 00:00:00,761.87
2016-09-06 00:00:00,760.43
2016-09-07 00:00:00,765.47
2016-09-08 00:00:00,762.63
2016-09-09 00:00:00,739.97
2016-09-12 00:00:00,748.18
2016-09-13 00:00:00,734.82
2016-09-14 00:00:00,732.28
2016-09-15 00:00:00,741.61
2016-09-16 00:00:00,740.5
2016-09-19 00:00:00,744.85
2016-09-20 00:00:00,742.36
2016-09-21 00:00:00,753.13
2016-09-22 00:00:00,764.64
2016-09-23 00:00:00,759.39
2016-09-26 00:00:00,750.08
2016-09-27 00:00:00,751.34
2016-09-28 00:00:00,758.22
2016-09-29 00:00:00,748.98
2016-09-30 00:00:00,756.9
2016-10-03 00:00:00,754.24
2016-10-04 00:00:00,750.66
2016-10-05 00:00:00,755.37
2016-10-06 00:00:00,755.02
2016-10-07 00:00:00,749.06
2016-10-10 00:00:00,756.8
2016-10-11 00:00:00,744.37
2016-10-12 00:00:00,745.5
2016-10-13 00:00:00,737.65
2016-10-14 00:00:00,736.68
2016-10-17 00:00:00,734.99
2016-10-18 00:00:00,737.43
2016-10-19 00:00:00,740.32
2016-10-20 00:00:00,735.7
2016-10-21 00:00:00,733.89
2016-10-24 00:00:00,739.78
2016-10-25 00:00:00,732.7
2016-10-26 00:00:00,727.29
2016-10-27 00:00:00,719.32
2016-10-28 00:00:00,718.63
2016-10-31 00:00:00,722.59
2016-11-01 00:00:00,712.77
2016-11-02 00:00:00,705.68
2016-11-03 00:00:00,703.64
2016-11-04 00:00:00,707.17
2016-11-07 00:00:00,724.26
2016-11-08 00:00:00,726.04
2016-11-09 00:00:00,748.27
2016-11-10 00:00:00,762.35
2016-11-11 00:00:00,781.84
2016-11-14 00:00:00,793.04
2016-11-15 00:00:00,795.17
2016-11-16 00:00:00,795.68
2016-11-17 00:00:00,799.43
2016-11-18 00:00:00,803
2016-11-21 00:00:00,806.34
2016-11-22 00:00:00,816.82
2016-11-23 00:00:00,821.67
2016-11-25 00:00:00,825.28
2016-11-28 00:00:00,815.1
2016-11-29 00:00:00,814.42
2016-11-30 00:00:00,812.02
2016-12-01 00:00:00,808.59
2016-12-02 00:00:00,809.35
2016-12-05 00:00:00,824.05
2016-12-06 00:00:00,832.68
2016-12-07 00:00:00,841.51
2016-12-08 00:00:00,855.36
2016-12-09 00:00:00,857.5
2016-12-12 00:00:00,848.65
2016-12-13 00:00:00,848.93
2016-12-14 00:00:00,838.49
2016-12-15 00:00:00,846.1
2016-12-16 00:00:00,842.04
2016-12-19 00:00:00,845.84
2016-12-20 00:00:00,854.67
2016-12-21 00:00:00,848.99
2016-12-22 00:00:00,840.82
2016-12-23 00:00:00,845.02
2016-12-27 00:00:00,849.79
2016-12-28 00:00:00,839.61
2016-12-29 00:00:00,841.52
2016-12-30 00:00:00,837.96
2017-01-03 00:00:00,843.36
2017-01-04 00:00:00,857.37
2017-01-05 00:00:00,845.04
2017-01-06 00:00:00,840.17
2017-01-09 00:00:00,832.38
2017-01-10 00:00:00,840.1
2017-01-11 00:00:00,843.07
2017-01-12 00:00:00,833.29
2017-01-13 00:00:00,839.86
2017-01-17 00:00:00,828.42
2017-01-18 00:00:00,832.57
2017-01-19 00:00:00,823.96
2017-01-20 00:00:00,827.56
2017-01-23 00:00:00,825.1
2017-01-24 00:00:00,838.01
2017-01-25 00:00:00,846.78
2017-01-26 00:00:00,841.79
2017-01-27 00:00:00,838.36
2017-01-30 00:00:00,827.14
2017-01-31 00:00:00,834.2
2017-02-01 00:00:00,832.48
2017-02-02 00:00:00,828.22
2017-02-03 00:00:00,841.34
2017-02-06 00:00:00,833.76
2017-02-07 00:00:00,830.46
2017-02-08 00:00:00,829.15
2017-02-09 00:00:00,842.77
2017-02-10 00:00:00,849.64
2017-02-13 00:00:00,851.46
2017-02-14 00:00:00,853.19
2017-02-15 00:00:00,857.91
2017-02-16 00:00:00,856.27
